Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
1_Folien_und_Notizen_21.10.24.pdf;7327953;Heribert;Vollmer;1337;"21.10.2024 18:07";1_Folien_und_Notizen_21.10.24.pdf
2_Folien_und_Notizen_28.10.24.pdf;8477878;Heribert;Vollmer;837;"28.10.2024 12:57";2_Folien_und_Notizen_28.10.24.pdf
3_Folien_und_Notizen_04.11.24.pdf;9066636;Heribert;Vollmer;729;"05.11.2024 14:19";3_Folien_und_Notizen_04.11.24.pdf
4_Folien_und_Notizen_11.11.24.pdf;9189339;Heribert;Vollmer;616;"12.11.2024 14:36";4_Folien_und_Notizen_11.11.24.pdf
5_Folien_und_Notizen_18.11.24.pdf;7086766;Heribert;Vollmer;621;"18.11.2024 16:25";5_Folien_und_Notizen_18.11.24.pdf
6_Folien_und_Notizen_25.11.24.pdf;7876480;Heribert;Vollmer;734;"18.11.2024 16:25";6_Folien_und_Notizen_25.11.24.pdf
7_Folien_und_Notizen_02.12.24.pdf;4442942;Heribert;Vollmer;426;"09.12.2024 22:15";7_Folien_und_Notizen_02.12.24.pdf
8_Folien_und_Notizen_09.12.24.pdf;4993511;Heribert;Vollmer;508;"09.12.2024 22:15";8_Folien_und_Notizen_09.12.24.pdf
9_Folien_und_Notizen_16.12.24.pdf;10676520;Heribert;Vollmer;542;"16.12.2024 13:56";9_Folien_und_Notizen_16.12.24.pdf
10_Folien_und_Notizen_06.01.25.pdf;11237482;Heribert;Vollmer;397;"14.01.2025 09:50";10_Folien_und_Notizen_06.01.25.pdf
11_Folien_und_Notizen_13.01.25.pdf;7484400;Heribert;Vollmer;399;"14.01.2025 09:50";11_Folien_und_Notizen_13.01.25.pdf
12_Folien_und_Notizen_20.1.25.pdf;1790717;Vivian;Holzapfel;475;"20.01.2025 13:27";12_Folien_und_Notizen_20.1.25.pdf
13_Notizen.pdf;11174208;Vivian;Holzapfel;396;"22.01.2025 10:39";13_Notizen.pdf
Folien.pdf;1173292;Heribert;Vollmer;1608;"16.10.2024 21:27";Folien.pdf
Skript.pdf;655309;Vivian;Holzapfel;2682;"11.10.2024 11:55";Skript.pdf
